timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
11,0.059814,-0.266235,0.989258,0.549316,-11.474609,1.647949
24,0.086670,-0.267212,0.979492,1.098633,-9.826660,-0.488281
34,0.090698,-0.216553,1.087769,1.281738,-10.192871,-2.014160
43,0.089478,-0.183228,1.000244,1.953125,-10.681152,-3.479004
53,0.108276,-0.280884,0.960571,2.502441,-11.169434,-5.065918
62,0.111328,-0.198975,0.911255,2.197266,-12.390137,-6.469727
71,0.114990,-0.094849,0.950073,2.136230,-12.634277,-7.019043
81,0.007324,-0.108887,0.927002,2.197266,-12.573242,-7.202148
91,0.009644,-0.167114,0.940430,2.502441,-11.962891,-7.202148
100,-0.031250,-0.181641,0.967651,2.563477,-10.864258,-6.896973
110,0.055664,-0.188110,1.028320,2.380371,-10.192871,-7.019043
122,0.021851,-0.123413,0.975342,1.892090,-10.681152,-7.263184
131,-0.012451,-0.073364,1.035645,1.281738,-10.864258,-7.019043
141,-0.012451,-0.097656,1.042358,1.403809,-10.681152,-6.774902
151,-0.029419,-0.084473,1.041748,1.403809,-9.948730,-6.591797
160,-0.026855,-0.065552,1.091675,1.342773,-9.582520,-6.408691
171,-0.046265,-0.105957,1.093140,1.770020,-8.789063,-6.530762
181,-0.043579,-0.126465,1.083374,1.953125,-8.850098,-6.774902
190,-0.012817,-0.152100,1.085327,2.441406,-9.216309,-9.094238
201,0.021240,-0.192749,0.926270,2.380371,-9.887695,-10.681152
211,-0.014648,-0.150513,1.022949,2.197266,-10.131836,-12.084961
220,-0.031006,-0.139771,0.953247,2.136230,-9.582520,-12.573242
230,-0.041870,-0.197632,0.927246,2.136230,-9.155273,-13.000488
240,-0.036865,-0.136963,0.972778,2.014160,-8.544922,-13.549805
252,-0.048950,-0.199341,0.883423,1.708984,-7.324219,-13.549805
262,-0.047607,-0.223633,0.763184,0.000000,-7.568359,-13.183594
272,-0.128052,-0.096069,0.932373,-1.403809,-7.141113,-12.939453
281,-0.123535,0.000610,1.037720,-1.403809,-5.493164,-13.183594
291,-0.125732,0.012451,1.070923,-0.976562,-3.723145,-13.549805
301,-0.077637,-0.141724,0.981079,-0.183105,-3.112793,-15.563965
310,-0.028564,-0.181885,0.811279,0.122070,-4.028320,-19.287109
322,0.002441,-0.144165,0.806885,-2.075195,-5.493164,-22.827148
332,-0.035767,0.036621,0.802368,-2.685547,-4.272461,-22.277832
341,-0.019409,-0.020142,0.895142,-2.929688,-2.563477,-20.141602
351,-0.007813,0.000488,1.025024,-3.112793,-1.220703,-18.188477
360,0.135254,-0.072266,1.051025,-3.173828,-0.610352,-16.967773
370,-0.014893,-0.012573,1.287598,-3.479004,-1.464844,-18.249512
381,-0.128662,0.015991,1.337769,-3.173828,-0.061035,-18.371582
390,-0.011597,-0.026855,1.195679,-2.502441,1.708984,-19.714355
402,0.018433,-0.066162,0.997192,-1.892090,-1.220703,-23.193359
412,0.044189,-0.014771,0.962036,-2.380371,-1.586914,-23.193359
421,0.056030,-0.009766,1.018433,-2.502441,0.000000,-20.812988
431,0.083374,-0.043457,1.106567,-2.197266,2.197266,-17.333984
440,0.008057,-0.129639,1.058594,-1.831055,2.990723,-15.014648
451,-0.056641,-0.164307,1.029785,-2.075195,3.295898,-13.305664
460,-0.096069,-0.190430,0.964722,-2.197266,3.662109,-11.840820
472,-0.146240,-0.158203,0.967773,-2.258301,3.417969,-9.765625
481,-0.149658,-0.262695,0.963379,-2.258301,4.638672,-8.544922
491,-0.087402,-0.275024,0.920288,-2.563477,5.432129,-7.446289
500,-0.136719,-0.214966,1.033936,-2.990723,5.798340,-6.225586
510,-0.102417,-0.155762,0.968384,-2.868652,6.713867,-4.455566
521,-0.091187,-0.238770,0.899780,-2.380371,7.568359,-2.685547
530,0.003052,-0.317993,0.916016,-2.136230,8.361816,-0.854492
542,-0.089966,-0.128662,0.992676,-2.502441,7.873535,1.098633
552,-0.109863,-0.204224,0.990845,-2.685547,8.178711,2.014160
561,-0.097046,-0.200806,0.972412,-2.136230,9.155273,2.563477
571,-0.024292,-0.184204,0.945068,-2.380371,9.033203,2.319336
580,-0.003296,-0.208008,0.911743,-2.807617,8.300781,1.831055
590,-0.061646,-0.076416,0.995850,-3.356934,7.995605,1.281738
600,-0.026367,-0.016968,1.096313,-3.295898,8.422852,1.708984
613,0.053101,-0.106079,0.999878,-2.258301,9.216309,2.746582
622,0.116333,-0.111206,0.971191,-2.380371,8.789063,3.845215
632,0.099365,-0.114380,0.842285,-2.746582,7.629395,4.455566
641,0.024536,0.042358,0.966919,-2.746582,7.873535,6.103516
650,-0.011963,-0.115845,1.037720,-1.770020,8.911133,7.812500
661,-0.041748,-0.377563,0.994019,-1.464844,9.277344,9.643555
670,-0.086426,-0.228516,0.992798,-2.502441,8.605957,10.131836
682,-0.105835,-0.183105,0.964844,-2.502441,7.934570,9.033203
691,0.005127,-0.284912,0.939819,-0.671387,8.483887,7.934570
701,0.060425,-0.127319,0.999634,-1.708984,7.446289,7.080078
711,0.054565,-0.120850,0.912598,-1.708984,5.493164,3.906250
720,-0.049683,-0.124146,0.961670,-0.854492,3.906250,1.708984
731,0.015015,-0.124146,1.000122,0.183105,4.699707,0.122070
740,0.133301,-0.277466,0.962769,0.732422,6.225586,-0.061035
752,-0.005859,-0.168091,0.946411,0.610352,6.042480,-1.770020
761,0.042725,-0.232788,0.886475,0.183105,4.943848,-2.075195
771,0.090210,-0.238647,0.915771,-0.244141,5.737305,-1.586914
781,0.050049,-0.169800,0.978882,-0.732422,5.249023,-1.159668
790,-0.082031,-0.135010,0.925537,-1.281738,4.577637,-1.647949
800,-0.086060,-0.104614,0.997803,-1.892090,4.272461,-1.647949
810,-0.045776,-0.072266,1.048218,-2.136230,5.859375,-1.525879
822,-0.001099,-0.078857,1.004028,-2.197266,6.469727,-0.549316
832,0.025391,-0.071045,1.006104,-2.563477,6.530762,0.061035
841,0.031616,-0.053467,1.040771,-2.563477,6.103516,0.610352
850,0.073730,-0.082764,1.080322,-2.319336,6.347656,1.037598
860,0.052979,-0.127441,1.060303,-2.380371,6.591797,1.342773
870,0.030151,-0.083496,1.038330,-2.197266,6.408691,1.220703
882,-0.020264,-0.068604,0.951782,-1.831055,6.408691,1.892090
892,0.037354,-0.133301,1.000366,-2.441406,6.591797,3.051758
901,0.036865,-0.040649,1.011597,-2.746582,6.591797,4.211426
911,0.022217,-0.036499,0.980469,-2.746582,6.347656,5.981445
920,0.026855,-0.066040,1.002441,-2.746582,6.164551,7.812500
931,0.075195,-0.127197,1.003540,-2.685547,6.469727,9.582520
940,0.087036,-0.067261,1.014648,-2.624512,7.141113,11.291504
952,0.031006,-0.008301,0.983887,-2.319336,6.347656,14.343262
961,-0.019409,-0.074829,0.992554,-2.197266,6.591797,15.502930
971,-0.006958,-0.011475,1.002930,-2.319336,6.347656,16.845703
981,-0.063110,-0.100708,0.958008,-1.953125,6.164551,17.883301
990,-0.075073,-0.078979,1.002319,-1.770020,6.408691,19.104004
1001,-0.096802,-0.105957,0.979736,-1.586914,6.835937,20.446777
1010,-0.063477,-0.090088,0.985840,-1.708984,6.713867,21.240234
1022,-0.092407,-0.048584,0.981079,-1.342773,7.263184,23.071289
1032,-0.096802,-0.135376,0.962036,-0.976562,7.385254,23.681641
1041,-0.075317,-0.167114,0.943481,-0.610352,7.629395,24.169922
1051,-0.028442,-0.210449,0.979736,-0.793457,7.324219,24.719238
1060,0.001465,-0.196045,1.025757,-0.915527,6.835937,25.024414
1071,0.049316,-0.163208,1.008423,-1.403809,6.286621,25.146484
1081,0.060669,-0.126221,1.037354,-2.014160,5.615234,25.695801
1090,0.045288,-0.049561,0.993896,-2.075195,4.943848,26.000977
1102,0.007568,-0.110474,0.995483,-1.403809,5.126953,26.672363
1111,-0.044922,-0.082642,0.968262,-0.854492,4.516602,26.733398
1121,-0.043091,-0.087036,1.015747,-0.732422,4.150391,26.550293
1130,-0.006714,-0.106812,1.011230,-0.488281,3.112793,25.756836
1141,0.012451,-0.114990,1.011597,-0.671387,2.258301,25.451660
1150,0.024780,-0.018066,1.079102,-0.671387,1.464844,25.207520
1162,0.024902,-0.074219,1.023682,-0.427246,1.464844,25.146484
1171,0.050171,-0.104492,0.999390,-0.122070,1.342773,24.658203
1182,-0.033691,-0.091309,0.981323,-0.305176,1.098633,24.108887
1191,-0.044434,-0.090088,0.954956,-1.037598,0.549316,23.254395
1200,-0.030640,-0.108276,0.906860,-1.159668,-0.061035,21.911621
1210,-0.042969,-0.120728,0.946289,-1.525879,-1.098633,20.263672
1221,-0.036987,-0.107300,0.966919,-1.220703,-1.892090,18.371582
1231,-0.007568,-0.170044,1.034424,-1.220703,-1.953125,14.648438
1240,0.036987,-0.089600,1.106323,-0.488281,-1.831055,13.122559
1250,0.151001,-0.198608,1.007324,0.000000,-2.197266,11.840820
1261,0.217896,-0.174927,1.010376,0.122070,-3.479004,10.803223
1270,0.192139,-0.187378,0.970459,0.122070,-4.760742,9.887695
1281,0.275879,-0.145630,0.978516,-0.061035,-5.859375,9.948730
1290,0.237915,-0.170044,0.964355,-0.061035,-6.774902,9.216309
1302,0.168945,-0.207031,0.974854,0.244141,-7.141113,8.117676
1311,0.153198,-0.209229,0.975220,-0.305176,-7.995605,6.835937
