timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
11,0.005981,-0.072876,1.068848,2.929688,-9.643555,-16.723633
20,0.034546,-0.288452,1.010498,3.234863,-9.094238,-17.272949
31,0.031616,-0.374146,0.959351,2.441406,-9.155273,-18.066406
40,0.088745,-0.099976,1.074585,1.037598,-9.033203,-18.676758
50,0.036133,-0.057129,1.105957,0.549316,-8.911133,-19.897461
62,0.057861,-0.113037,0.955078,0.671387,-8.789063,-21.240234
71,0.068481,-0.016602,0.981567,0.305176,-8.483887,-22.583008
81,0.046509,0.033325,0.996216,0.061035,-8.178711,-24.047852
90,0.026367,-0.046265,1.019653,0.122070,-8.300781,-25.695801
101,0.006836,-0.084839,1.009033,0.793457,-7.385254,-27.160645
111,0.060059,-0.116577,1.051025,0.976562,-7.019043,-27.832031
120,0.066406,-0.081299,1.027344,0.427246,-6.164551,-28.869629
132,0.027222,-0.035767,0.992432,0.915527,-5.737305,-29.602051
141,-0.037964,-0.141968,0.936401,1.647949,-5.371094,-30.029297
151,-0.033569,-0.139282,0.866333,1.708984,-5.065918,-30.090332
160,-0.007690,-0.170288,0.894653,1.098633,-4.089355,-29.602051
170,0.007446,-0.152344,0.831665,0.244141,-3.295898,-28.381348
180,-0.020386,0.149414,1.009644,-0.427246,-1.953125,-26.489258
190,-0.035645,0.096802,1.041138,1.220703,1.403809,-20.385742
200,-0.044556,-0.059082,0.982666,2.197266,2.319336,-17.517090
210,-0.041138,-0.196533,0.891357,2.075195,3.356934,-15.136719
220,-0.020142,-0.046753,0.971924,1.281738,4.394531,-11.840820
230,-0.015503,0.008179,0.952148,0.610352,4.821777,-8.789063
240,-0.032227,-0.033447,0.903931,0.610352,5.187988,-6.530762
250,-0.023437,-0.091919,0.838013,0.854492,5.981445,-3.601074
263,-0.087769,-0.112061,0.874146,-0.976562,6.958008,2.075195
272,-0.151978,-0.036499,1.013550,-2.258301,7.751465,5.126953
281,-0.191284,0.143066,1.199463,-2.319336,8.605957,7.812500
291,-0.194336,0.047852,1.241211,-1.220703,9.948730,9.765625
300,-0.170410,-0.120483,1.102051,0.061035,11.047363,11.779785
311,-0.127197,-0.174316,0.993774,0.610352,11.108398,12.329102
320,-0.128052,-0.175781,0.950317,-0.610352,10.742188,12.939453
330,-0.135986,-0.003296,1.070068,-1.525879,10.986328,16.601562
341,-0.147339,0.094238,1.086670,-0.244141,12.084961,19.409180
350,-0.088135,-0.126343,0.962524,0.549316,12.695313,22.644043
361,-0.008911,-0.159790,0.969238,-0.366211,12.268066,26.000977
371,0.043945,-0.104858,1.052368,-1.708984,11.291504,28.869629
380,-0.052734,0.003418,1.109375,-2.258301,9.826660,30.883789
391,-0.116577,0.042603,0.998901,-1.647949,9.765625,32.470703
400,-0.086548,-0.038574,1.118530,-0.549316,10.253906,35.827637
410,-0.011963,-0.146118,0.961060,-0.915527,8.605957,35.644531
421,-0.178345,-0.135376,0.881592,-1.647949,7.141113,35.156250
430,-0.122559,-0.066284,0.948242,-2.258301,6.103516,33.569336
440,-0.097656,-0.114136,0.982788,-2.197266,5.615234,32.897949
450,-0.039063,-0.197144,1.011719,-2.014160,4.699707,31.555176
