timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
10,-0.008057,-0.093628,1.044678,0.427246,3.356934,0.976562
21,-0.026733,-0.142456,1.005859,-0.244141,2.746582,0.610352
30,-0.015991,-0.082764,1.026733,-0.549316,3.173828,0.915527
40,0.007568,-0.008911,0.981812,-0.671387,3.662109,1.342773
50,0.002563,-0.190186,0.899902,-1.220703,3.662109,1.708984
60,-0.009277,-0.137817,0.951538,-2.075195,3.540039,1.586914
70,-0.043091,0.083496,0.979614,-2.929688,3.601074,1.892090
80,-0.031738,-0.013184,0.974976,-2.685547,4.455566,2.014160
90,0.004395,-0.093506,0.964844,-2.502441,4.760742,1.770020
100,0.003052,-0.156372,0.858398,-2.990723,4.272461,1.770020
110,0.014893,0.015503,0.957886,-4.089355,3.662109,2.258301
120,0.010986,-0.054687,1.006836,-4.760742,3.845215,2.807617
130,-0.014648,-0.043701,0.920166,-4.638672,4.028320,3.906250
141,0.016846,-0.180298,0.913574,-4.577637,4.211426,5.493164
151,0.002197,-0.034180,0.950317,-5.187988,3.784180,5.126953
160,-0.014282,0.013184,1.029419,-5.371094,3.051758,4.638672
170,-0.036621,-0.055542,0.975464,-4.943848,2.746582,4.028320
180,-0.026001,0.031250,1.067505,-4.272461,2.990723,3.417969
190,0.000000,0.009644,1.052124,-3.479004,2.929688,2.868652
201,-0.008667,-0.137207,0.995850,-2.624512,2.990723,2.197266
210,0.032104,-0.140137,0.904785,-2.319336,2.502441,1.708984
221,0.064697,-0.135376,0.868408,-2.136230,1.892090,1.403809
230,0.020508,-0.041138,0.973633,-2.014160,1.586914,1.342773
240,-0.014404,-0.166992,0.996094,-2.014160,1.220703,1.342773
250,-0.031860,-0.075684,1.006104,-1.831055,2.014160,1.953125
260,-0.006348,-0.056152,1.044312,-1.831055,2.746582,2.319336
269,-0.009766,-0.243896,0.897095,-1.770020,2.624512,1.892090
281,-0.029297,-0.045410,1.001953,-2.197266,1.831055,0.854492
290,-0.086182,-0.054565,0.966309,-3.051758,1.281738,0.732422
300,0.002563,0.030762,1.074097,-2.746582,2.258301,1.525879
309,-0.036499,-0.053955,1.010010,-2.563477,3.051758,2.563477
319,-0.045166,-0.004761,1.024170,-2.868652,3.112793,2.807617
330,-0.087524,0.016846,1.066284,-2.502441,3.540039,2.136230
340,-0.052002,-0.010620,1.101929,-1.831055,3.723145,0.915527
352,0.051270,-0.067993,0.998535,-1.281738,3.112793,0.183105
361,0.082397,-0.069824,1.021729,-1.647949,2.563477,0.122070
371,0.055786,0.030029,1.067017,-1.892090,2.136230,0.732422
380,0.045898,-0.042358,1.121094,-1.281738,2.502441,1.281738
390,0.031128,-0.034424,1.136353,-0.549316,2.929688,1.525879
400,0.035645,-0.036133,1.135010,0.122070,2.990723,0.793457
411,0.025757,-0.128418,1.071045,0.854492,1.464844,-3.112793
421,0.038086,-0.054810,0.942505,1.647949,0.366211,-4.333496
430,0.040039,-0.088013,0.939697,2.014160,-0.122070,-5.310059
440,0.085083,-0.286499,0.802124,2.014160,-0.244141,-4.638672
449,0.123291,-0.100220,0.884277,1.037598,0.183105,-2.441406
460,0.162842,-0.134644,0.908569,0.122070,0.732422,0.549316
469,0.091919,-0.036255,0.915771,-0.610352,1.159668,3.173828
480,0.104492,0.101685,1.063477,-0.305176,1.098633,5.004883
491,0.093750,-0.016113,1.005371,0.061035,0.915527,6.713867
501,0.140869,0.018433,1.078857,-0.122070,-0.061035,6.164551
510,0.146729,-0.068604,0.891846,-0.244141,-0.610352,5.615234
520,0.020264,0.124390,1.058960,-0.305176,-1.281738,4.699707
529,-0.121216,-0.427490,0.815063,-0.122070,-1.892090,3.967285
540,0.292114,-0.193237,0.838501,-0.915527,-1.098633,3.479004
549,-0.018555,-0.220581,1.035645,-0.061035,-2.685547,2.502441
561,-0.057495,-0.124878,1.235352,0.488281,-3.662109,3.356934
570,-0.183960,-0.030884,1.217773,0.549316,-2.380371,5.676270
580,-0.195435,-0.068481,0.946289,0.000000,-1.403809,7.751465
589,-0.062622,0.099121,0.882690,-0.061035,0.305176,10.620117
600,-0.051514,-0.099243,0.812256,0.610352,1.159668,13.244629
609,0.019287,-0.285767,0.766602,1.586914,1.159668,14.404297
620,0.031982,-0.246704,1.056519,2.441406,0.915527,15.441895
629,-0.015259,-0.383423,1.025024,2.075195,0.183105,15.075684
641,-0.187134,-0.088745,1.012939,0.183105,-0.366211,13.244629
650,-0.218628,-0.376709,0.850830,-0.244141,-1.403809,11.230469
660,-0.088013,-0.180176,0.818970,-1.037598,-1.708984,9.887695
669,-0.012085,-0.038940,1.060425,-1.586914,-1.525879,9.704590
679,0.142578,-0.139282,1.042358,-2.319336,-0.671387,10.864258
690,0.160400,-0.159424,1.031006,-3.234863,0.244141,12.756348
699,0.143188,0.055054,0.994263,-4.882812,-0.915527,13.305664
711,-0.027466,-0.078613,1.035889,-4.882812,-1.953125,11.840820
720,-0.021118,-0.045166,1.182129,-5.065918,-2.868652,10.131836
730,-0.067871,-0.188232,1.129150,-4.821777,-4.028320,8.300781
740,-0.055786,-0.097168,1.077148,-4.577637,-4.821777,6.591797
749,-0.058716,-0.003662,1.077271,-4.211426,-4.882812,5.920410
759,-0.060547,-0.093506,1.012451,-3.662109,-4.760742,6.042480
769,-0.132690,-0.188354,0.971069,-2.807617,-3.112793,8.483887
779,-0.099731,0.041382,1.073364,-2.136230,-1.892090,9.643555
789,-0.131714,-0.232910,0.872192,-1.892090,-1.586914,10.070801
799,-0.109985,-0.134766,0.943359,-1.525879,-1.586914,9.582520
810,-0.014404,-0.148437,0.908081,-1.281738,-2.014160,8.239746
819,-0.014282,-0.197266,0.849121,-1.281738,-2.990723,6.713867
829,-0.033081,-0.034180,0.983398,-1.281738,-3.540039,5.126953
841,-0.056885,-0.167358,0.888306,-1.281738,-2.441406,3.723145
851,-0.029053,0.026245,0.922852,-1.159668,-2.319336,2.563477
861,-0.030762,-0.015381,0.946045,-1.159668,-2.136230,1.708984
870,0.000488,-0.185669,0.957031,-1.403809,-2.258301,0.854492
880,-0.047852,0.039307,1.039307,-1.647949,-2.075195,0.000000
