timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
11,-0.009888,-0.151489,0.973022,-2.319336,2.319336,17.150879
20,0.013672,-0.230347,0.956543,-2.197266,1.953125,17.333984
30,0.084351,-0.139038,1.002686,-2.075195,1.464844,17.517090
42,0.026489,-0.090088,0.952393,-1.708984,0.671387,17.822266
51,-0.060059,-0.215942,0.899048,-1.403809,0.671387,17.822266
61,-0.033081,-0.203003,0.932007,-1.220703,0.915527,18.066406
71,-0.065552,-0.144775,0.921631,-1.647949,0.976562,18.493652
80,-0.099976,-0.129395,0.954712,-1.708984,0.793457,18.493652
91,-0.107544,-0.203735,0.946899,-1.281738,0.976562,18.005371
100,-0.092651,-0.202759,0.920044,-1.708984,1.403809,18.066406
113,-0.069092,-0.041016,1.041260,-2.014160,1.220703,17.211914
122,-0.065308,-0.109619,0.938599,-1.403809,1.525879,16.784668
132,-0.014648,-0.252075,0.905273,-1.281738,1.403809,16.113281
142,0.038208,-0.138184,1.022095,-1.586914,0.976562,15.625000
151,0.061035,-0.089233,0.992798,-1.770020,0.915527,15.625000
160,0.100342,-0.152710,0.976929,-1.159668,0.732422,15.502930
170,0.096313,-0.166138,0.998047,-0.732422,0.549316,15.625000
181,0.084106,-0.194702,0.945190,-1.159668,-1.098633,14.892578
191,0.036499,-0.097168,1.001221,-1.953125,-1.586914,14.831543
201,-0.002441,-0.070312,1.042358,-2.441406,-1.647949,14.526367
210,-0.025879,-0.138306,1.060547,-2.441406,-1.098633,14.282227
220,-0.004639,-0.100708,1.085815,-2.563477,-0.915527,13.916016
231,0.025757,-0.106323,1.041748,-2.563477,-1.098633,12.817383
240,0.027100,-0.076660,0.958374,-2.624512,-1.953125,11.413574
252,0.029297,-0.041748,1.010986,-2.502441,-2.624512,9.277344
261,0.019775,-0.117920,0.958984,-2.563477,-2.868652,8.544922
270,0.016968,-0.006104,1.032104,-3.051758,-3.356934,7.263184
280,0.011353,0.008545,0.998535,-2.868652,-3.662109,6.286621
290,0.010986,-0.095581,0.972046,-2.380371,-3.479004,5.615234
300,0.047607,-0.085449,0.980957,-2.258301,-3.479004,4.577637
310,0.024658,-0.041016,1.002563,-2.502441,-3.967285,3.784180
320,0.013184,-0.069092,0.965454,-2.807617,-4.272461,2.746582
330,-0.009521,-0.034180,0.968506,-2.441406,-3.479004,1.586914
340,-0.018799,0.017456,0.925903,-2.197266,-2.990723,0.671387
350,-0.015747,-0.155273,0.835449,-2.197266,-3.173828,-0.122070
360,0.008545,-0.152710,0.818970,-2.685547,-3.479004,-0.915527
369,-0.006714,-0.015137,0.923828,-3.479004,-3.662109,-1.342773
380,-0.031494,0.022583,0.975830,-3.967285,-3.234863,-1.098633
390,-0.078735,-0.023315,1.000122,-3.601074,-2.136230,-0.671387
400,-0.047852,-0.031494,1.091064,-2.929688,-1.098633,-1.647949
409,-0.039795,-0.040649,0.960449,-2.685547,-1.464844,-3.479004
420,-0.016357,-0.095825,0.961426,-2.685547,-1.525879,-4.943848
430,0.017944,-0.034058,0.995239,-2.502441,-1.342773,-5.615234
440,-0.000977,-0.066284,0.981934,-2.563477,-0.854492,-5.798340
450,0.025513,-0.132324,1.011841,-2.380371,-0.427246,-5.249023
460,-0.004639,-0.125488,1.050171,-2.075195,-0.244141,-4.699707
469,-0.009644,-0.115967,0.994019,-1.953125,0.488281,-3.845215
481,0.055176,-0.092529,1.025513,-1.831055,0.976562,-3.356934
490,0.031128,-0.115234,1.005127,-1.831055,0.915527,-2.990723
500,0.026001,-0.119873,1.004395,-1.892090,1.037598,-2.502441
509,0.020630,-0.096436,0.957031,-2.075195,1.708984,-1.770020
520,0.035034,-0.103638,1.021606,-2.136230,1.892090,-0.610352
530,-0.000122,-0.072021,0.955322,-2.075195,2.319336,0.244141
539,-0.010864,-0.145508,0.919189,-2.136230,2.258301,2.563477
551,0.033936,-0.093262,0.947021,-2.319336,2.014160,3.295898
560,0.037476,-0.106567,0.960083,-2.685547,2.319336,4.821777
570,0.022705,-0.130249,1.018799,-2.990723,2.685547,6.286621
580,-0.055420,-0.064941,1.102051,-2.685547,3.173828,7.446289
590,-0.129639,-0.101440,1.011353,-1.831055,3.784180,8.605957
600,-0.052124,-0.244141,0.963257,-1.281738,4.882812,9.765625
609,0.009399,-0.147827,0.982544,-1.281738,5.249023,11.596680
621,-0.060303,-0.177979,0.966431,-1.281738,4.516602,12.390137
630,-0.013062,-0.092773,0.999878,-1.342773,4.516602,13.244629
640,0.040894,-0.105103,1.003296,-1.159668,4.760742,13.916016
