timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
10,0.057495,0.051147,1.121582,-1.647949,-6.103516,15.991211
20,-0.051270,0.053955,1.105225,-0.732422,-5.554199,14.770508
31,-0.020874,0.009277,1.054565,-0.122070,-5.920410,12.878418
40,-0.019775,-0.152954,0.919556,0.915527,-6.652832,11.291504
51,-0.057495,-0.059570,0.991699,1.281738,-7.141113,10.131836
60,-0.008057,-0.059326,0.996338,1.464844,-6.713867,11.108398
70,-0.015869,-0.208984,0.876221,1.281738,-5.798340,12.817383
82,-0.007568,-0.214355,0.910645,0.915527,-4.272461,17.028809
91,0.040771,-0.257446,0.803589,0.488281,-4.272461,18.615723
101,0.086914,-0.148682,0.873291,-0.366211,-4.760742,19.531250
110,0.020264,-0.161743,0.795044,-0.488281,-5.493164,19.958496
120,0.071655,-0.207886,0.867920,-0.976562,-5.615234,21.301270
131,0.088501,-0.144043,0.911621,-1.586914,-5.493164,22.521973
140,0.065430,-0.099976,1.010254,-1.770020,-5.920410,22.705078
152,0.032104,-0.125366,1.154053,-1.525879,-6.958008,19.897461
161,0.075317,-0.178467,1.099609,0.000000,-7.568359,16.784668
171,0.068359,-0.103516,1.064575,0.305176,-9.033203,12.573242
180,0.006592,-0.038818,1.059326,0.427246,-10.192871,8.972168
190,0.001953,-0.187866,1.000732,0.488281,-10.803223,5.920410
200,0.039063,-0.059448,0.973145,0.183105,-10.559082,3.967285
212,0.007813,0.107056,1.083252,0.488281,-10.192871,2.685547
221,0.015137,-0.237915,0.968994,1.037598,-9.460449,2.502441
232,0.073608,-0.100342,0.987183,1.403809,-9.338379,2.380371
241,0.023926,-0.168457,0.917236,1.281738,-9.887695,2.502441
250,-0.041138,-0.351318,0.923218,0.915527,-9.765625,3.295898
260,-0.061401,-0.039917,1.037598,0.427246,-8.850098,4.699707
270,-0.104004,-0.055176,1.146484,0.427246,-7.629395,6.591797
280,-0.121094,-0.334106,0.956665,0.427246,-7.019043,7.751465
292,0.029297,-0.054565,0.985107,-15.502930,-6.958008,8.483887
302,-0.015625,-0.155762,1.006958,-0.976562,-7.141113,9.216309
311,-0.040649,-0.166870,1.001953,-1.037598,-6.408691,10.192871
321,0.011230,-0.150757,1.073730,-1.098633,-5.554199,10.742188
331,0.017822,-0.234131,0.938721,-1.220703,-5.615234,10.314941
340,-0.029419,-0.176514,0.879883,-1.770020,-6.530762,8.361816
352,-0.008301,0.112671,1.046753,-2.319336,-6.896973,4.943848
361,-0.051025,-0.174316,0.848389,-2.624512,-6.652832,2.990723
371,-0.065552,0.066162,0.965698,-2.990723,-6.713867,1.098633
380,-0.040527,0.153809,1.114868,-3.112793,-6.713867,-0.427246
391,-0.053101,-0.004761,1.063721,-3.051758,-6.225586,-2.197266
401,-0.042358,0.071045,1.095337,-2.258301,-5.676270,-4.455566
410,-0.018555,0.164429,1.139282,-0.671387,-5.371094,-6.958008
420,0.024536,-0.101929,1.005615,0.854492,-5.615234,-10.131836
432,0.120361,0.006348,0.921265,1.220703,-6.591797,-15.441895
441,0.242310,-0.209351,0.811768,1.281738,-7.141113,-16.296387
451,0.042603,-0.206177,0.879883,0.854492,-7.202148,-16.784668
460,0.107300,-0.133789,0.987793,0.244141,-5.371094,-14.709473
470,0.094238,-0.148437,0.986450,-0.061035,-3.906250,-13.854980
481,0.026123,-0.221680,0.950562,-0.244141,-3.845215,-13.305664
490,0.035645,-0.139404,1.014526,-0.488281,-3.845215,-14.160156
500,0.041016,-0.170776,0.953857,-1.281738,-3.906250,-15.808105
510,-0.001587,0.038452,1.106079,-1.403809,-3.173828,-17.272949
