timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
11,-0.025635,-0.148560,1.004517,0.549316,6.286621,-0.976562
20,-0.031982,-0.159790,0.972778,0.183105,6.408691,0.366211
32,-0.028564,-0.119995,0.994995,-0.671387,6.286621,2.563477
42,-0.068481,-0.116455,1.010986,-0.854492,7.080078,3.723145
51,-0.099609,-0.152588,1.017578,-0.976562,7.385254,4.577637
61,-0.085815,-0.096924,1.052002,-0.976562,7.751465,4.394531
70,-0.072876,-0.122559,1.070801,-0.915527,7.812500,4.394531
80,-0.052979,-0.118042,1.057373,-0.976562,7.446289,3.845215
91,-0.062622,-0.092407,1.060791,-1.464844,7.141113,3.662109
100,-0.076172,-0.102783,1.039917,-1.037598,6.347656,3.295898
112,-0.060791,-0.087280,1.024902,-1.037598,7.568359,3.723145
122,-0.026611,-0.111816,1.011719,-0.915527,8.117676,4.394531
131,-0.020142,-0.106567,1.026001,-1.037598,8.300781,5.126953
141,0.001587,-0.090454,1.025879,-1.159668,8.239746,5.371094
150,0.004761,-0.069702,1.056030,-1.220703,7.934570,5.249023
161,0.040161,-0.156372,1.015869,-1.159668,7.751465,5.432129
173,0.062622,-0.149414,0.927734,-1.403809,7.080078,6.408691
182,0.025635,-0.154419,0.881104,-1.770020,6.896973,7.446289
192,-0.005615,-0.161499,0.923828,-2.014160,7.080078,8.605957
202,-0.036621,-0.167725,0.963135,-2.502441,7.263184,9.765625
211,-0.061157,-0.109375,1.037964,-2.746582,7.324219,10.498047
221,-0.103394,-0.081543,1.073608,-2.990723,7.446289,10.742188
231,-0.134155,-0.074463,1.046997,-2.441406,7.324219,10.131836
240,-0.103271,-0.094482,1.057617,-1.831055,7.385254,8.850098
252,-0.052002,-0.121704,1.062378,-0.854492,6.835937,5.187988
262,-0.051514,-0.142700,1.041870,-0.671387,6.774902,3.601074
271,-0.024658,-0.159668,1.049927,-0.366211,6.469727,2.685547
281,-0.013794,-0.152954,0.998413,0.061035,6.713867,1.831055
291,-0.028198,-0.164185,0.962402,0.427246,6.896973,1.220703
301,-0.010010,-0.142944,0.941528,0.305176,7.141113,0.854492
310,-0.036987,-0.226074,0.937744,0.671387,7.202148,1.037598
322,-0.074463,-0.192017,0.947510,0.671387,7.507324,1.647949
331,-0.029907,-0.165405,0.905396,0.732422,8.056641,2.441406
341,-0.034180,-0.133667,0.948608,0.427246,8.239746,3.051758
351,-0.017212,-0.120483,1.005859,0.427246,8.178711,3.662109
361,-0.013428,-0.128540,1.038208,0.915527,8.972168,4.638672
371,-0.002197,-0.140869,1.039063,0.976562,8.911133,5.004883
381,-0.015991,-0.143188,1.000122,1.037598,8.911133,5.737305
392,0.247559,-0.158569,0.956787,1.159668,7.507324,6.286621
402,0.391479,-0.201538,0.972290,1.220703,4.882812,4.882812
411,0.270752,-0.105347,0.959595,0.732422,2.197266,4.028320
421,-0.022827,-0.015991,1.115601,0.610352,2.868652,4.211426
431,-0.014893,-0.039673,1.156738,0.854492,6.713867,6.103516
441,-0.020996,-0.155518,1.005859,1.220703,8.972168,7.934570
453,-0.116455,-0.201172,0.884521,0.122070,4.943848,8.361816
463,-0.084351,-0.120728,0.960205,-0.366211,4.577637,11.047363
472,-0.051758,-0.052979,1.078369,-0.427246,5.432129,14.465332
482,-0.053955,-0.129517,1.097412,0.000000,6.774902,18.188477
491,-0.010010,-0.139893,1.061890,0.427246,7.690430,21.118164
501,0.036255,-0.118530,1.041138,0.732422,8.117676,22.399902
511,0.115723,-0.147095,1.009277,0.854492,7.568359,22.583008
521,0.112915,-0.167847,1.010620,1.037598,6.713867,22.277832
532,0.097778,-0.199097,1.069824,1.403809,4.760742,22.338867
541,0.108643,-0.277710,0.960571,1.342773,3.540039,22.583008
550,0.102173,-0.178101,0.962769,1.403809,2.624512,22.766113
561,0.049805,-0.114380,0.987183,1.342773,1.953125,23.620605
