timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
13,-0.020020,-0.105591,1.072998,-1.892090,-1.525879,3.112793
22,0.011108,-0.171997,1.034302,-1.342773,-2.075195,1.281738
32,0.064941,-0.137939,1.067139,-0.976562,-2.929688,-1.525879
42,0.048096,-0.119507,1.003418,-1.098633,-4.577637,-4.089355
51,0.024048,-0.142334,1.008911,-1.464844,-5.126953,-6.042480
61,0.037109,-0.075195,1.036377,-1.159668,-5.310059,-7.385254
71,0.033081,-0.098999,1.031372,-0.915527,-4.943848,-8.117676
80,0.011108,-0.140015,0.981934,-0.854492,-5.432129,-8.911133
90,-0.035889,-0.151611,1.006592,-0.671387,-5.065918,-9.277344
100,-0.023804,-0.155396,1.036377,-0.366211,-5.187988,-9.399414
110,-0.032227,-0.108521,0.955933,-0.305176,-5.004883,-9.338379
120,-0.066895,-0.161865,0.936401,-0.244141,-4.760742,-9.521484
131,-0.084595,-0.141357,1.036621,0.427246,-4.577637,-9.338379
141,-0.073608,-0.114380,1.067017,0.122070,-3.784180,-9.277344
150,-0.052124,-0.211548,0.992798,-0.183105,-3.417969,-9.765625
160,-0.024170,-0.099854,1.034790,-0.427246,-3.356934,-9.765625
170,-0.068115,-0.094360,1.042725,-0.183105,-3.173828,-9.521484
181,-0.072510,-0.224487,0.934692,0.244141,-2.380371,-9.094238
191,-0.013550,-0.143066,0.885498,0.000000,-1.831055,-8.300781
201,-0.075684,-0.048828,0.989380,-0.549316,-1.586914,-8.056641
211,-0.136841,-0.040771,0.985840,-0.549316,-1.220703,-7.202148
221,-0.155640,-0.114502,0.967407,0.793457,0.610352,-7.019043
230,-0.131592,-0.128174,0.914062,0.915527,0.915527,-7.202148
241,-0.119507,-0.038330,0.976440,0.671387,0.793457,-7.324219
250,-0.168823,-0.048096,1.057617,0.671387,1.159668,-7.202148
261,-0.149536,-0.069946,0.995483,1.220703,1.892090,-7.080078
270,-0.092529,-0.020142,0.961792,1.525879,2.685547,-7.019043
282,-0.053711,-0.023193,1.008911,1.220703,3.356934,-6.530762
292,-0.069214,-0.033081,0.914429,0.732422,3.540039,-6.103516
301,-0.075317,-0.031616,1.031006,0.000000,4.699707,-5.004883
311,-0.079102,0.034790,1.073486,-0.244141,4.577637,-5.126953
320,-0.087524,0.047119,1.077271,0.183105,4.699707,-5.371094
331,-0.089844,-0.070923,0.986450,1.037598,5.004883,-5.981445
340,-0.051636,-0.127441,0.958374,1.098633,4.943848,-6.591797
352,-0.002075,-0.073486,1.021729,0.793457,5.371094,-7.385254
362,-0.055176,-0.163452,0.918335,0.793457,5.065918,-7.690430
371,0.009766,-0.234131,0.875000,0.854492,5.920410,-7.690430
381,-0.094849,-0.214233,0.873169,0.305176,5.859375,-7.385254
390,-0.138916,-0.073975,1.008911,-0.061035,5.798340,-7.690430
