timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
11,-0.000610,-0.207031,0.987061,-3.051758,-3.601074,6.652832
20,0.076294,-0.177490,1.031616,-2.990723,-3.906250,4.760742
31,0.126953,-0.166748,1.031860,-3.051758,-4.455566,2.685547
40,0.119019,-0.213501,0.976440,-2.868652,-5.065918,0.976562
51,0.090210,-0.179810,0.946533,-2.563477,-6.042480,-0.366211
60,0.075317,-0.177856,0.950806,-2.380371,-6.835937,-1.281738
72,0.062744,-0.090698,1.023193,-2.868652,-6.896973,-1.098633
81,0.050537,-0.086792,1.023926,-2.990723,-6.774902,-0.549316
91,-0.021240,-0.113037,0.984253,-2.929688,-6.835937,-0.610352
101,-0.013306,-0.117310,1.061035,-2.563477,-6.958008,-1.220703
111,-0.012817,-0.169189,1.085938,-2.197266,-6.896973,-2.136230
120,-0.047363,-0.232788,0.997803,-1.953125,-7.568359,-3.540039
130,-0.049438,-0.184204,0.989258,-1.831055,-7.568359,-4.638672
142,0.003906,-0.250488,1.009399,-0.732422,-7.141113,-5.554199
151,-0.017700,-0.190430,0.981567,-0.732422,-7.568359,-5.432129
161,-0.058228,-0.164551,0.976196,-0.854492,-7.141113,-5.065918
171,-0.084106,-0.192871,0.941040,-0.732422,-6.530762,-4.455566
180,-0.064453,-0.200317,0.966553,-0.915527,-5.676270,-3.784180
190,-0.039673,-0.179932,0.950562,-1.403809,-5.371094,-3.051758
203,-0.050659,-0.206421,0.939331,-1.892090,-5.371094,-2.319336
213,-0.068970,-0.145996,0.958008,-1.892090,-4.882812,-1.831055
222,-0.025269,-0.046021,1.056030,-1.831055,-4.211426,-1.464844
232,-0.074341,-0.034424,1.031006,-1.770020,-4.455566,-1.159668
242,-0.103394,-0.066772,1.036987,-1.586914,-3.906250,-1.220703
251,-0.134033,-0.060791,1.029785,-1.464844,-3.295898,-1.281738
261,-0.139404,-0.000366,1.016357,-1.159668,-2.990723,-1.525879
270,-0.135376,-0.062012,1.004395,-0.915527,-3.173828,-3.662109
280,-0.113892,-0.148315,0.959106,-0.244141,-2.380371,-4.333496
291,-0.097290,-0.043457,0.988892,-0.671387,-2.258301,-4.516602
301,-0.145874,-0.040527,0.933838,-0.854492,-1.403809,-3.906250
310,-0.166260,-0.049927,0.933228,-0.793457,-0.427246,-3.417969
321,-0.160156,-0.028442,0.986084,-0.549316,0.976562,-3.112793
330,-0.146484,-0.105591,0.946045,-0.427246,1.281738,-3.234863
340,-0.144775,-0.183960,0.924683,-0.488281,1.342773,-3.967285
352,-0.071411,-0.133789,0.914795,-0.732422,2.258301,-4.882812
361,-0.073242,-0.144531,0.974121,-1.098633,1.892090,-5.126953
371,-0.061401,-0.148926,0.987061,-1.281738,2.502441,-5.065918
380,-0.124268,-0.079224,0.979370,-1.220703,3.112793,-4.638672
