timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
10,0.080566,-0.182617,1.022461,-2.929688,-6.896973,-5.187988
20,0.033936,-0.202148,0.982056,-3.173828,-6.835937,-5.126953
30,0.152344,-0.133789,0.982910,-3.051758,-5.798340,-5.432129
43,0.018921,-0.195435,0.953979,-2.136230,-7.202148,-7.263184
52,-0.011841,-0.124146,1.005615,-2.319336,-9.338379,-7.446289
62,0.039063,-0.073120,0.989624,-1.953125,-5.737305,-7.507324
71,0.015381,-0.179565,0.927124,-2.563477,-6.713867,-6.896973
81,0.023437,-0.058472,0.914062,-2.563477,-9.277344,-6.469727
90,-0.012207,-0.035522,0.929932,-2.624512,-6.896973,-5.920410
100,0.000122,-0.105835,0.994385,-2.929688,-5.798340,-5.187988
113,0.035400,-0.095215,1.058594,-2.807617,-5.493164,-4.150391
123,-0.019043,-0.104980,1.018188,-2.746582,-5.615234,-4.150391
132,-0.007813,-0.153931,1.040039,-2.624512,-5.493164,-4.089355
142,0.020264,-0.099731,0.963989,-2.868652,-5.432129,-3.295898
152,-0.000122,-0.159180,0.878052,-3.417969,-5.432129,-1.953125
161,0.051025,-0.164185,0.904053,-3.784180,-4.394531,-0.183105
171,0.013794,-0.103638,0.914307,-4.455566,-3.295898,2.441406
180,0.054443,-0.041260,1.040771,-4.577637,-2.075195,7.080078
190,0.019409,-0.075806,1.010498,-4.455566,-1.892090,8.117676
200,-0.031128,-0.091553,0.998901,-4.089355,-2.990723,8.483887
211,-0.084717,-0.165771,0.961548,-3.845215,-3.112793,8.117676
221,-0.078735,-0.136230,1.111450,-3.967285,-2.807617,7.751465
231,-0.013916,-0.084229,1.139893,-3.601074,-2.929688,8.056641
241,0.011475,-0.220093,0.960205,-2.258301,-2.075195,8.239746
250,-0.055664,-0.367432,0.790161,-2.502441,-4.028320,8.422852
260,-0.064209,-0.354614,0.789307,-3.173828,-2.685547,8.666992
271,-0.110596,-0.112061,0.935913,-3.540039,-1.525879,9.765625
280,-0.140503,-0.223633,0.954102,-3.234863,-1.831055,11.169434
290,-0.141357,-0.220459,0.911865,-2.563477,0.366211,11.413574
301,-0.096680,-0.265015,0.899658,-2.624512,0.122070,10.925293
310,-0.072388,-0.269409,0.884521,-3.356934,0.122070,10.253906
320,-0.046997,-0.161011,0.932617,-3.784180,-0.732422,9.460449
332,-0.077148,-0.109863,1.088135,-3.601074,-1.281738,7.629395
341,0.009399,-0.195190,1.037476,-2.868652,-0.854492,7.507324
351,0.016602,-0.156494,1.035034,-2.563477,-0.671387,7.202148
360,0.022705,-0.184692,0.990234,-2.197266,-1.342773,6.225586
370,-0.009277,-0.197998,1.022095,-1.953125,-1.831055,5.615234
380,-0.003052,-0.185791,1.040405,-1.647949,-1.953125,4.882812
390,-0.027588,-0.105713,1.068604,-1.220703,-1.403809,5.004883
401,-0.115601,-0.180420,1.047485,-0.854492,-1.220703,6.103516
411,-0.097534,-0.211182,1.024292,-1.220703,-0.976562,6.469727
420,-0.114380,-0.104004,0.939941,-1.403809,-0.366211,7.019043
430,-0.139038,-0.128052,0.951050,-1.464844,0.305176,7.385254
441,-0.175659,-0.234619,0.882935,-1.464844,0.549316,7.934570
450,-0.169556,-0.139648,0.960693,-2.136230,1.708984,8.300781
460,-0.172485,-0.146973,0.915649,-2.685547,2.258301,9.033203
471,-0.153931,-0.210571,0.887817,-2.685547,3.112793,9.948730
481,-0.155396,-0.210693,0.894653,-3.112793,3.784180,9.643555
